journal,year,data_shared,code_relevant,preprint,data_upon_request,code_shared,code_upon_request,preregistration,osf_exploratory,articles,rDataShared,rPreprint,rDataRequest,rCodeShared,rCodeRequest,rPreReg,rOSF
Aggress Behav,2018,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aggress Violent Behav,2014,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algorithms Mol Biol,2018,1,2,1,0,7,0,0,0,8,0.12,0.12,0.0,0.88,0.0,0.0,0.0
Am J Geriatr Psychiatry,2015,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am J Geriatr Psychiatry,2016,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am J Geriatr Psychiatry,2017,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am J Health Behav,2012,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am J Health Behav,2013,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am J Health Behav,2017,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am J Health Behav,2018,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am J Hum Biol,2017,0,1,0,0,1,0,0,0,7,0.0,0.0,0.0,0.14,0.0,0.0,0.0
Am J Med Genet B Neuropsychiatr Genet,2017,1,0,0,0,0,0,0,0,3,0.33,0.0,0.0,0.0,0.0,0.0,0.0
Am J Orthopsychiatry,2018,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am J Psychiatry,2006,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am J Psychiatry,2010,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am J Psychiatry,2015,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am J Psychiatry,2016,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am J Psychiatry,2017,0,0,0,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am J Psychiatry,2018,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ambio,2017,0,2,0,0,0,0,0,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ambio,2018,1,0,0,0,0,0,0,0,7,0.14,0.0,0.0,0.0,0.0,0.0,0.0
Anal Bioanal Chem,2017,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anal Bioanal Chem,2018,0,3,0,0,2,0,0,0,16,0.0,0.0,0.0,0.12,0.0,0.0,0.0
Anal Biochem,2018,1,1,0,0,0,0,0,0,4,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Anat Cell Biol,2017,0,0,0,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anat Cell Biol,2018,0,0,0,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anat Res Int,2018,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anat Sci Int,2017,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anim Behav,2018,1,1,0,0,0,0,0,0,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Anim Cogn,2017,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anim Cogn,2018,0,1,1,0,1,0,0,1,5,0.0,0.2,0.0,0.2,0.0,0.0,0.2
Ann Behav Med,2017,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ann Behav Med,2018,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ann Biomed Eng,2017,0,1,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ann Biomed Eng,2018,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ann Clin Microbiol Antimicrob,2018,4,1,1,0,0,0,0,0,16,0.25,0.06,0.0,0.0,0.0,0.0,0.0
Ann Clin Psychiatry,2017,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ann Clin Psychiatry,2018,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ann Clin Transl Neurol,2017,0,3,0,0,0,0,0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ann Clin Transl Neurol,2018,1,9,0,0,0,0,0,0,34,0.03,0.0,0.0,0.0,0.0,0.0,0.0
Ann Gen Psychiatry,2018,1,2,0,1,0,0,0,0,10,0.1,0.0,0.1,0.0,0.0,0.0,0.0
Ann Hum Biol,2017,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ann Indian Acad Neurol,2018,0,0,0,0,0,0,0,0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ann Neurol,2015,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ann Neurol,2016,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ann Neurol,2017,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ann Neurol,2018,0,5,0,0,1,0,0,0,32,0.0,0.0,0.0,0.03,0.0,0.0,0.0
Antibiotics (Basel),2017,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antibiotics (Basel),2018,0,2,2,0,1,0,0,0,22,0.0,0.09,0.0,0.05,0.0,0.0,0.0
Appl Anim Behav Sci,2018,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appl Biochem Biotechnol,2017,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appl Bionics Biomech,2017,0,1,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appl Bionics Biomech,2018,1,6,0,0,4,0,0,0,28,0.04,0.0,0.0,0.14,0.0,0.0,0.0
Appl Cogn Psychol,2017,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Appl Cogn Psychol,2018,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appl Environ Microbiol,2018,16,13,28,0,9,0,0,0,28,0.57,1.0,0.0,0.32,0.0,0.0,0.0
Appl Microbiol Biotechnol,2017,0,0,0,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appl Microbiol Biotechnol,2018,6,4,2,0,1,0,0,0,19,0.32,0.11,0.0,0.05,0.0,0.0,0.0
Appl Psycholinguist,2015,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appl Psychophysiol Biofeedback,2017,0,1,0,0,1,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Arch Biochem Biophys,2018,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arch Clin Neuropsychol,2016,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arch Clin Neuropsychol,2017,0,0,0,0,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arch Microbiol,2017,1,0,1,0,0,0,0,0,2,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Arch Microbiol,2018,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arch Oral Biol,2017,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arch Oral Biol,2018,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arch Sex Behav,2017,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arch Sex Behav,2018,0,1,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arterioscler Thromb Vasc Biol,2014,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arterioscler Thromb Vasc Biol,2015,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arterioscler Thromb Vasc Biol,2016,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arterioscler Thromb Vasc Biol,2017,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arterioscler Thromb Vasc Biol,2018,0,0,0,0,0,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia Ocean J Nucl Med Biol,2018,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asian J Neurosurg,2018,0,1,0,0,0,0,0,0,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Astrobiology,2018,1,3,1,0,2,0,0,0,12,0.08,0.08,0.0,0.17,0.0,0.0,0.0
Atten Percept Psychophys,2018,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Audiol Neurootol,2017,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aust N Z J Psychiatry,2015,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aust N Z J Psychiatry,2018,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australas Psychiatry,2017,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMC Biochem,2018,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMC Bioinformatics,2017,5,8,5,0,5,0,0,0,12,0.42,0.42,0.0,0.42,0.0,0.0,0.0
BMC Bioinformatics,2018,30,82,34,1,84,0,0,1,138,0.22,0.25,0.01,0.61,0.0,0.0,0.01
BMC Biol,2018,11,16,5,0,11,0,0,0,46,0.24,0.11,0.0,0.24,0.0,0.0,0.0
BMC Biophys,2018,0,1,1,0,0,0,0,0,3,0.0,0.33,0.0,0.0,0.0,0.0,0.0
BMC Biotechnol,2018,4,4,2,0,0,0,0,0,22,0.18,0.09,0.0,0.0,0.0,0.0,0.0
BMC Cell Biol,2018,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMC Dev Biol,2018,5,3,0,0,1,0,0,0,11,0.45,0.0,0.0,0.09,0.0,0.0,0.0
BMC Evol Biol,2018,28,29,11,0,12,0,0,1,63,0.44,0.17,0.0,0.19,0.0,0.0,0.02
BMC Microbiol,2018,18,10,5,0,5,0,0,0,39,0.46,0.13,0.0,0.13,0.0,0.0,0.0
BMC Mol Biol,2018,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMC Neurol,2018,2,5,0,0,0,0,0,0,56,0.04,0.0,0.0,0.0,0.0,0.0,0.0
BMC Neurosci,2018,0,6,2,0,3,0,1,0,21,0.0,0.1,0.0,0.14,0.0,0.05,0.0
BMC Plant Biol,2018,22,21,3,1,4,0,0,0,64,0.34,0.05,0.02,0.06,0.0,0.0,0.0
BMC Psychiatry,2018,6,17,1,1,1,0,0,0,110,0.05,0.01,0.01,0.01,0.0,0.0,0.0
BMC Psychol,2018,0,5,1,0,0,0,0,1,16,0.0,0.06,0.0,0.0,0.0,0.0,0.06
BMC Struct Biol,2018,0,1,1,0,0,0,0,0,6,0.0,0.17,0.0,0.0,0.0,0.0,0.0
BMC Syst Biol,2017,3,11,0,0,3,0,0,0,15,0.2,0.0,0.0,0.2,0.0,0.0,0.0
BMC Syst Biol,2018,10,16,5,0,11,0,0,0,38,0.26,0.13,0.0,0.29,0.0,0.0,0.0
Behav Anal Pract,2016,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Behav Anal Pract,2017,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Behav Brain Funct,2018,0,3,0,0,1,0,0,0,7,0.0,0.0,0.0,0.14,0.0,0.0,0.0
Behav Brain Res,2018,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Behav Cogn Psychother,2017,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Behav Ecol,2016,0,2,1,0,0,0,0,0,2,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Behav Ecol,2017,12,13,3,0,2,0,2,1,15,0.8,0.2,0.0,0.13,0.0,0.13,0.07
Behav Ecol,2018,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Behav Ecol Sociobiol,2018,0,4,3,0,2,0,0,0,8,0.0,0.38,0.0,0.25,0.0,0.0,0.0
Behav Genet,2017,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Behav Genet,2018,0,1,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Behav Neurol,2017,1,0,0,0,1,0,0,0,3,0.33,0.0,0.0,0.33,0.0,0.0,0.0
Behav Neurol,2018,0,2,1,0,1,0,0,0,14,0.0,0.07,0.0,0.07,0.0,0.0,0.0
Behav Pharmacol,2018,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Behav Res Methods,2017,2,11,5,0,8,0,0,4,15,0.13,0.33,0.0,0.53,0.0,0.0,0.27
Behav Res Methods,2018,0,0,1,0,1,0,0,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Behav Res Ther,2017,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Behav Sci (Basel),2017,1,2,1,0,0,0,0,0,5,0.2,0.2,0.0,0.0,0.0,0.0,0.0
Behav Sci (Basel),2018,1,3,1,0,1,0,0,1,29,0.03,0.03,0.0,0.03,0.0,0.0,0.03
Behav Sleep Med,2017,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bio Protoc,2017,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bio Protoc,2018,0,3,0,0,1,0,0,0,5,0.0,0.0,0.0,0.2,0.0,0.0,0.0
BioData Min,2018,2,4,2,0,4,0,0,0,6,0.33,0.33,0.0,0.67,0.0,0.0,0.0
BioDrugs,2018,0,1,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bioact Mater,2016,1,0,0,0,0,0,0,0,13,0.08,0.0,0.0,0.0,0.0,0.0,0.0
Bioact Mater,2017,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bioanalysis,2017,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biochem Biophys Rep,2015,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biochem Biophys Rep,2017,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biochem Biophys Rep,2018,4,1,0,0,1,0,0,0,12,0.33,0.0,0.0,0.08,0.0,0.0,0.0
Biochem Biophys Res Commun,2018,1,1,1,0,0,0,0,0,6,0.17,0.17,0.0,0.0,0.0,0.0,0.0
Biochem J,2018,0,0,9,0,0,0,0,0,12,0.0,0.75,0.0,0.0,0.0,0.0,0.0
Biochem Med (Zagreb),2018,2,2,1,0,0,0,0,0,18,0.11,0.06,0.0,0.0,0.0,0.0,0.0
Biochem Mol Biol Educ,2018,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biochem Mol Biol J,2018,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biochem Pharmacol,2018,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biochem Res Int,2018,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biochem Soc Trans,2017,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biochem Soc Trans,2018,0,1,3,0,0,0,0,0,8,0.0,0.38,0.0,0.0,0.0,0.0,0.0
Biochemistry,2017,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biochemistry,2018,1,0,0,0,0,0,0,0,5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Biochim Biophys Acta,2016,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biochim Biophys Acta,2017,1,0,1,0,0,0,0,0,10,0.1,0.1,0.0,0.0,0.0,0.0,0.0
Biochim Biophys Acta,2018,1,2,0,0,0,0,0,0,18,0.06,0.0,0.0,0.0,0.0,0.0,0.0
Biochim Open,2015,0,2,0,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biochim Open,2016,3,1,0,0,0,0,0,0,18,0.17,0.0,0.0,0.0,0.0,0.0,0.0
Biochim Open,2017,1,1,0,0,1,0,0,0,16,0.06,0.0,0.0,0.06,0.0,0.0,0.0
Biochimie,2015,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bioconjug Chem,2017,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bioconjug Chem,2018,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biocontrol (Dordr),2017,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biodegradation,2017,1,0,0,0,1,0,0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Biodivers Data J,2017,2,3,1,0,1,0,0,0,9,0.22,0.11,0.0,0.11,0.0,0.0,0.0
Biodivers Data J,2018,3,6,3,0,2,0,0,0,16,0.19,0.19,0.0,0.12,0.0,0.0,0.0
Bioelectron Med (Lond),2017,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bioeng Transl Med,2018,0,2,0,0,0,0,0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.17
Bioengineering (Basel),2017,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bioengineering (Basel),2018,2,4,1,0,0,0,0,0,22,0.09,0.05,0.0,0.0,0.0,0.0,0.0
Bioethics,2017,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bioethics,2018,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogerontology,2017,1,2,0,0,0,0,0,0,3,0.33,0.0,0.0,0.0,0.0,0.0,0.0
Biogerontology,2018,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bioimpacts,2017,2,1,0,0,0,0,0,0,16,0.12,0.0,0.0,0.0,0.0,0.0,0.0
Bioimpacts,2018,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bioinform Biol Insights,2018,0,1,1,0,2,0,0,0,3,0.0,0.33,0.0,0.67,0.0,0.0,0.0
Bioinformatics,2007,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bioinformatics,2015,0,0,0,0,1,0,0,0,2,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Bioinformatics,2016,2,5,1,0,9,0,0,0,15,0.13,0.07,0.0,0.6,0.0,0.0,0.0
Bioinformatics,2017,47,177,46,0,242,0,0,0,380,0.12,0.12,0.0,0.64,0.0,0.0,0.0
Bioinformation,2017,1,0,0,0,1,0,0,0,9,0.11,0.0,0.0,0.11,0.0,0.0,0.0
Bioinformation,2018,2,2,1,0,1,0,0,0,15,0.13,0.07,0.0,0.07,0.0,0.0,0.0
Bioinorg Chem Appl,2018,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bioinspir Biomim,2017,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biol Blood Marrow Transplant,2017,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biol Conserv,2018,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biol Cybern,2017,0,1,1,0,1,0,0,0,2,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Biol Cybern,2018,0,0,1,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Biol Direct,2018,3,3,3,1,3,0,0,0,7,0.43,0.43,0.14,0.43,0.0,0.0,0.0
Biol Lett,2018,2,2,7,0,0,0,0,0,7,0.29,1.0,0.0,0.0,0.0,0.0,0.0
